epoch,train_loss,eval_loss,accuracy,f1_score
1,0.05366666917170095,0.05126193371704883,0.988133971291866,0.8108360579168612
2,0.008632887777305878,0.04939408013597131,0.9895885167464115,0.850984067478913
3,0.004702091451540031,0.04956226304639131,0.9903923444976076,0.8676401318888366
4,0.0030039201059028696,0.05035209223214123,0.990468899521531,0.8669201520912547
5,0.0022044077128261642,0.05155141158546839,0.991043062200957,0.8813397129186602
6,0.0016639031850581598,0.0549511871404118,0.99088995215311,0.8801534036433365
7,0.001162669700910567,0.0613821331722041,0.9911196172248804,0.8813886210221793
8,0.0007936227866246403,0.07200890151369903,0.9911961722488039,0.8816793893129771
9,0.0008303392046603157,0.07484324264029661,0.9903923444976076,0.8744588744588744
10,0.0009857384133179358,0.07430818087110917,0.9906985645933014,0.8768567321514136
